Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
3651.0,1.2,98.26,152.2,,3641.4,10.0,37.1
3652.0,1.2,91.26,137.69,1.09,3612.5,10.0,37.4
3653.0,1.5,91.17,145.11,1.1,3878.4,10.1,138.9
3654.0,1.0,-9.819999999999993,146.51,1.06,3486.0,9.5,37.4
,1.5,95.41,136.26,1.07,2655.34,10.1,37.1
3656.0,1.0,97.62,143.35,-98.95,3842.7,10.0,-65.5
,1.2,90.46,138.29,1.05,3415.7,10.0,37.3
3658.0,1.1,-9.819999999999993,141.71,1.11,3920.2799999999993,10.2,37.1
,1.0,97.89,138.28,1.09,3801.3,10.0,36.9
3660.0,1.3,99.28,141.71,1.06,3759.4,10.2,36.5
3661.0,1.3,91.18,154.52,1.05,3597.2,10.1,36.9
3662.0,1.1,92.91,136.75,1.07,3879.2,9.5,37.2
3663.0,1.0,94.73,141.17,1.05,3761.9,9.7,37.1
3664.0,1.4,97.27,141.83,1.07,3476.1,10.0,
3665.0,1.4,96.98,152.92,1.1,3492.6,10.1,36.9
3666.0,1.0,99.47,155.96,1.05,3470.3,,37.1
3667.0,1.0,93.64,140.53,,3509.8,9.6,37.3
3668.0,1.2,95.78,153.77,1.07,3763.7,110.2,37.3
3669.0,1.1,199.91,142.46,1.07,3920.2799999999993,10.1,36.8
3670.0,1.1,90.22,144.84,1.08,3516.9,,37.0
3671.0,1.0,95.61,150.24,1.11,3573.4,,37.1
3672.0,1.4,97.57,151.66,1.05,3473.0,,36.6
3673.0,1.2,97.33,,1.11,3402.6,10.1,37.0
3674.0,1.0,99.23,155.26,1.06,3481.8,10.0,37.4
3675.0,1.0,92.26,145.44,1.11,,10.0,37.2
3676.0,1.0,96.22,136.82,1.06,3869.3,9.8,
3677.0,,99.16,145.55,1.05,3813.2,9.9,36.6
3678.0,1.1,97.45,137.57,1.07,3883.0,10.1,36.6
3679.0,1.3,95.39,147.3,1.1,3585.8,10.0,37.2
3680.0,1.5,95.38,142.34,1.08,,9.6,36.8
3681.0,1.5,97.65,152.65,1.1,3447.5,10.1,37.1
3682.0,1.0,96.66,139.78,1.09,3470.9,10.0,
3683.0,1.0,97.19,146.17,1.11,3572.2,-90.5,36.6
3684.0,1.1,92.75,142.24,1.1,3793.0,10.1,36.6
3685.0,1.5,93.83,149.19,1.07,3426.4,9.5,37.4
3686.0,1.0,92.47,148.78,1.11,3438.9,9.6,36.8
3687.0,1.4,91.75,,1.05,3509.2,9.5,36.5
3688.0,1.3,97.5,149.13,1.06,3785.3,9.7,138.9
8609.33,1.3,99.64,137.63,1.09,2655.34,9.8,36.5
3690.0,1.1,98.26,141.94,1.08,3742.1,10.0,37.4
8609.33,1.3,92.17,151.45,1.05,3676.1,9.8,36.8
3692.0,1.5,98.72,30.430000000000007,1.07,2655.34,10.1,37.3
3693.0,1.5,199.91,154.98,1.08,,9.8,37.0
3694.0,1.5,94.2,142.16,1.07,2655.34,10.2,37.2
3695.0,1.5,93.96,143.16,1.11,3666.8,9.9,
3696.0,,97.42,140.34,1.05,3732.5,10.0,37.3
3697.0,1.3,97.42,146.62,1.11,3844.8,9.5,37.2
3698.0,1.0,91.89,136.16,1.08,3451.1,9.7,36.9
3699.0,1.0,93.47,141.36,1.09,3798.8,9.5,36.6
8609.33,1.5,199.91,153.89,1.05,,9.8,36.8
3701.0,107.5,97.97,145.74,-98.95,3628.7,10.1,36.8
3702.0,1.0,95.45,146.76,1.06,3756.4,10.1,36.6
3703.0,1.1,93.54,148.64,1.1,3786.1,9.9,36.9
3704.0,1.2,90.72,145.22,-98.95,3506.5,9.6,37.1
3705.0,1.3,96.9,142.6,,3894.4,9.8,37.1
3706.0,,98.6,143.13,1.05,3920.2799999999993,9.7,37.2
3707.0,1.2,90.38,144.88,1.1,3598.0,9.9,37.0
3708.0,1.0,-9.819999999999993,138.28,,3726.2,9.7,36.8
3709.0,1.5,98.24,30.430000000000007,1.07,3547.9,,37.2
3710.0,107.5,199.91,143.98,1.1,3694.3,9.6,37.1
-10.329999999999998,1.2,90.12,141.24,1.1,3657.1,9.5,36.6
3712.0,1.0,94.54,255.3056,1.1,3883.5,10.0,37.0
3713.0,1.2,93.13,152.53,1.11,3540.9,9.5,37.2
3714.0,1.5,96.86,,1.1,3774.5,9.5,36.6
3715.0,1.2,94.6,151.84,1.11,3630.8,10.1,36.9
3716.0,1.5,95.95,30.430000000000007,1.06,3809.3,,37.3
3717.0,1.2,94.21,146.46,1.06,3585.4,10.1,37.3
3718.0,1.2,99.28,137.24,1.08,3890.1,10.1,
,1.1,98.58,140.52,1.09,2655.34,9.8,37.3
3720.0,1.2,91.59,151.5,101.11,3669.6,,36.8
3721.0,1.0,95.8,145.51,1.08,3527.0,9.5,36.6
,1.5,99.86,137.25,1.09,3690.8,10.0,37.4
3723.0,1.4,199.91,148.53,1.09,3648.1,9.7,36.5
3724.0,1.5,90.51,151.15,1.08,3842.5,9.7,
3725.0,107.5,93.43,142.68,1.07,3604.8,10.1,36.6
3726.0,1.2,90.91,30.430000000000007,1.06,3482.6,10.0,36.9
3727.0,1.2,91.36,137.88,1.11,3443.8,10.2,37.0
3728.0,4.0,90.41,,1.06,3799.4,10.0,36.8
3729.0,4.5,90.7,,1.06,3920.2799999999993,9.5,36.5
3730.0,4.4,98.31,138.77,1.07,3920.2799999999993,9.6,
3731.0,4.6,199.91,135.56,,3801.0,10.0,37.1
3732.0,4.3,92.34,140.26,1.05,3437.9,9.9,36.6
3733.0,4.4,93.26,137.7,1.08,3771.1,10.1,37.0
,4.2,92.49,137.3,1.06,3868.7,9.9,36.8
3735.0,4.5,92.88,141.7,1.05,3920.2799999999993,9.5,37.1
3736.0,4.5,-9.819999999999993,136.24,1.05,3878.1,9.7,37.0
3737.0,4.4,95.81,144.73,1.09,3657.8,9.8,36.9
3738.0,4.4,91.45,154.1,1.07,3803.2,10.1,36.9
3739.0,4.5,95.77,142.56,1.05,3744.2,9.6,36.7
3740.0,4.6,95.23,,1.1,3550.1,9.7,36.6
3741.0,4.2,94.17,149.48,1.11,3835.4,110.2,36.6
3742.0,4.6,96.85,136.3,-98.95,3920.2799999999993,9.5,-65.5
3743.0,4.2,94.7,152.77,1.09,3653.8,9.8,
3744.0,4.5,96.73,,1.07,3775.4,9.6,36.8
3745.0,4.5,,145.52,1.09,3718.7,10.2,138.9
3746.0,4.2,91.1,141.66,1.06,3636.7,10.0,37.1
3747.0,4.1,97.14,150.55,1.05,3755.9,10.2,36.5
-10.329999999999998,4.3,98.4,,1.06,2655.34,10.2,36.9
3749.0,4.3,92.75,144.69,1.06,3706.3,9.8,-65.5
3750.0,4.4,97.2,144.35,101.11,3749.9,9.6,36.6
3751.0,4.1,98.87,146.6,1.05,3423.9,10.2,37.0
3752.0,4.1,95.81,145.89,-98.95,3629.2,9.8,36.7
3753.0,4.3,96.55,153.87,1.09,3475.6,9.8,37.0
3754.0,4.5,96.3,135.89,1.1,3848.1,10.1,37.0
3755.0,4.6,90.44,144.63,1.06,,10.2,37.4
3756.0,107.5,97.31,138.12,,3705.9,9.8,37.3
3757.0,4.1,99.6,151.86,1.05,3658.5,9.9,138.9
3758.0,4.5,92.15,143.37,1.1,3530.5,9.7,37.1
3759.0,,98.12,147.79,1.07,3451.6,9.6,36.6
3760.0,4.3,99.3,136.26,1.11,3774.4,9.8,37.2
3761.0,4.4,98.89,150.77,1.1,3920.2799999999993,9.8,36.7
3762.0,4.4,95.24,154.59,-98.95,,10.2,36.7
3763.0,4.4,94.42,,1.1,3920.2799999999993,9.8,37.1
8609.33,4.3,93.38,154.53,1.07,3712.5,9.5,36.5
3765.0,4.1,95.38,143.94,1.09,3880.1,9.8,37.1
3766.0,4.1,90.24,147.6,1.05,3870.7,10.2,37.3
3767.0,4.3,93.62,142.22,,3432.5,9.7,36.6
-10.329999999999998,4.6,90.65,144.3,1.05,3704.0,9.6,37.3
3769.0,4.4,99.71,140.36,1.08,3575.8,9.7,36.8
3770.0,,94.58,150.54,1.06,3776.5,9.6,36.6
3771.0,4.5,99.16,144.8,1.07,3885.2,,36.9
3772.0,4.2,95.45,149.69,1.1,3465.7,10.0,
3773.0,4.1,92.66,139.38,1.07,3875.7,9.7,37.0
3774.0,4.6,91.53,149.93,,3887.7,9.9,37.2
8609.33,4.5,98.97,148.65,1.11,3456.2,10.0,36.5
3776.0,4.1,93.84,137.24,1.07,3597.5,10.1,37.4
3777.0,107.5,91.92,143.29,1.05,3651.7,10.1,37.0
3778.0,4.2,93.42,149.35,1.11,3797.4,-90.5,36.5
3779.0,4.5,95.3,148.85,1.08,3920.2799999999993,9.5,37.4
3780.0,4.2,90.77,138.89,1.11,3899.7,9.9,37.3
3781.0,4.3,95.18,149.14,1.07,3652.2,9.9,36.6
3782.0,4.4,99.99,137.18,,3404.2,9.5,37.3
3783.0,4.4,-9.819999999999993,144.7,1.1,3729.8,9.8,37.1
3784.0,4.3,99.49,136.24,1.07,,9.9,36.5
3785.0,4.6,,147.71,1.05,3623.2,9.6,36.9
3786.0,4.1,96.46,146.29,1.06,,10.1,36.6
3787.0,4.5,98.59,140.36,1.05,3685.3,10.2,138.9
3788.0,4.5,91.72,142.21,1.05,3805.5,9.8,36.6
3789.0,4.5,97.32,138.59,1.09,3618.2,9.6,36.8
3790.0,4.2,93.98,138.24,1.1,,9.9,36.7
3791.0,4.4,91.72,143.18,1.06,3740.3,10.1,36.8
3792.0,4.4,94.66,141.92,1.05,3854.9,10.1,36.7
3793.0,4.6,92.27,153.76,1.09,3487.0,10.0,37.1
3794.0,4.3,98.8,148.76,1.09,3432.2,9.8,36.5
3795.0,4.1,98.2,141.84,1.09,3486.7,9.9,36.7
3796.0,4.4,99.15,151.5,1.06,3726.1,9.5,37.0
-10.329999999999998,4.5,90.83,140.38,1.05,3404.6,9.5,37.1
3798.0,,97.23,155.39,1.06,3819.6,9.7,36.5
3799.0,4.4,98.96,149.73,1.09,3416.3,9.6,138.9
3800.0,4.3,91.42,135.33,1.11,3655.7,10.1,37.2
3801.0,4.5,98.39,143.77,1.09,3891.6,9.9,36.6
3802.0,4.1,93.48,136.84,1.05,2655.34,10.1,37.2
8609.33,4.4,93.72,155.5,1.06,3645.8,9.7,37.1
3804.0,4.6,93.78,146.39,1.08,3485.6,10.2,37.4
3805.0,4.5,93.73,143.67,1.09,3852.9,9.9,37.4
3806.0,4.2,94.49,135.58,101.11,3407.7,9.9,37.2
-10.329999999999998,4.5,97.32,147.45,1.07,3644.9,10.0,36.5
3808.0,4.4,,153.39,1.07,3413.6,10.0,36.5
3809.0,4.5,96.32,146.91,-98.95,3583.2,10.2,36.5
3810.0,4.1,99.98,255.3056,1.09,3567.1,9.9,
3811.0,4.5,99.53,153.75,1.06,3709.0,9.7,36.8
3812.0,4.2,95.73,135.16,1.06,3441.0,9.6,37.0
3813.0,4.6,93.82,136.5,1.09,3719.7,,36.7
-10.329999999999998,4.2,199.91,146.43,1.07,3436.8,9.9,36.6
3815.0,4.6,90.95,138.7,1.06,3797.6,9.9,37.3
,107.5,93.95,138.71,-98.95,3234.7,9.9,37.0
3817.0,4.4,94.96,141.5,1.08,3494.2,110.2,37.4
3818.0,4.4,92.59,148.77,1.08,3421.3,10.0,37.0
3819.0,4.1,94.14,255.3056,1.08,3685.6,9.5,37.4
3820.0,4.2,-9.819999999999993,153.32,1.09,2655.34,10.2,37.4
3821.0,4.4,99.41,147.45,,3604.1,9.6,36.8
3822.0,4.2,93.15,139.88,1.07,3702.6,9.9,37.4
3823.0,4.6,98.47,,1.05,2655.34,9.7,37.3
3824.0,4.1,93.64,138.24,1.08,3920.2799999999993,9.7,138.9
3825.0,4.1,95.98,143.32,1.11,3235.7,9.8,36.7
,4.2,90.73,145.31,1.07,3324.1,110.2,36.9
3827.0,4.5,99.81,,1.09,3266.5,9.6,-65.5
3828.0,4.6,94.73,140.52,1.08,3629.1,9.8,36.6
,4.6,97.89,139.28,1.1,3920.2799999999993,9.9,37.1
3830.0,4.6,93.45,147.96,1.11,3920.2799999999993,10.1,36.9
3831.0,4.3,93.99,,-98.95,3511.7,10.0,36.7
3832.0,4.3,98.98,135.25,1.07,,10.0,36.6
-10.329999999999998,4.4,98.29,140.72,1.08,,9.7,37.2
3834.0,4.6,98.64,148.21,,3338.9,10.1,37.3
3835.0,4.4,91.77,143.47,1.11,3261.5,9.9,36.9
3836.0,4.1,97.73,143.66,1.07,3342.9,9.9,37.4
3837.0,107.5,97.58,150.71,1.07,3677.0,9.7,36.8
3838.0,4.2,95.49,150.32,1.11,3573.5,9.7,36.9
3839.0,4.5,96.43,151.48,1.08,3485.1,9.5,37.4
-10.329999999999998,107.5,97.72,,1.05,3533.9,10.0,36.8
3841.0,4.4,93.44,143.14,1.11,3277.7,9.9,36.6
3842.0,4.6,94.43,143.4,1.08,3209.5,9.6,37.0
8609.33,4.2,90.34,,1.09,3497.7,9.6,36.8
-10.329999999999998,4.4,94.16,152.46,1.08,,10.0,37.0
3845.0,,93.76,147.55,1.08,3270.3,10.1,37.0
3846.0,4.2,98.73,147.71,1.1,3462.5,10.1,36.6
3847.0,4.3,92.76,147.81,1.09,3920.2799999999993,9.7,37.0
3848.0,4.2,,149.64,1.07,3630.8,9.8,36.5
-10.329999999999998,4.3,93.89,30.430000000000007,1.05,3337.7,9.5,37.1
3850.0,4.4,96.14,153.96,1.06,3446.3,-90.5,36.5
3851.0,4.1,97.59,137.27,1.06,3386.6,9.9,36.8
3852.0,4.2,94.17,147.86,1.1,3390.2,9.9,37.2
3853.0,4.2,98.96,145.92,1.06,3347.1,10.0,37.2
3854.0,4.2,93.73,141.31,1.06,,9.9,37.3
3855.0,4.4,96.28,152.44,1.11,3654.3,,36.8
3856.0,4.2,95.77,141.89,1.07,3552.9,10.0,37.2
3857.0,4.6,90.14,138.37,1.06,3500.0,10.1,36.9
3858.0,4.2,98.77,146.77,1.11,3537.4,,37.3
3859.0,4.5,99.93,140.77,1.07,2655.34,10.2,37.3
3860.0,4.1,97.33,147.54,1.11,3441.8,10.1,36.9
3861.0,4.5,90.68,149.23,1.08,3232.6,9.9,
3862.0,,93.47,155.54,1.09,3347.5,9.6,-65.5
3863.0,4.5,94.11,145.75,1.11,3676.9,10.0,36.6
3864.0,-99.0,97.83,153.22,1.09,3387.8,9.5,37.4
3865.0,4.5,95.25,146.19,1.09,3691.1,10.2,36.8
3866.0,4.4,96.89,147.89,1.09,3455.4,9.6,-65.5
3867.0,4.2,95.65,140.97,1.08,3211.3,10.1,37.4
3868.0,4.5,92.6,142.91,1.07,3638.5,10.1,
3869.0,4.1,99.49,146.39,1.11,3532.1,9.5,37.4
3870.0,4.2,-9.819999999999993,145.53,1.06,3337.7,9.8,
,4.4,96.6,139.67,-98.95,3253.7,110.2,36.6
3872.0,4.3,97.92,,1.06,3588.9,10.1,36.9
3873.0,4.5,93.41,155.74,1.06,3262.4,9.6,36.9
3874.0,4.2,96.3,142.18,1.11,3496.8,9.6,37.4
3875.0,107.5,95.73,150.86,1.05,3208.2,9.6,37.4
3876.0,4.3,90.43,140.99,1.06,3612.0,9.9,37.2
3877.0,4.1,99.67,148.81,1.11,,110.2,37.0
3878.0,4.1,94.69,153.18,1.06,3426.5,110.2,36.7
3879.0,4.6,95.76,136.56,1.1,3493.3,10.1,37.2
3880.0,4.3,98.29,255.3056,1.08,3442.0,,37.2
3881.0,,96.91,138.6,1.07,3257.0,10.1,37.1
3882.0,4.4,90.31,152.16,1.07,3263.2,-90.5,37.4
3883.0,4.2,97.93,137.72,1.09,3211.1,10.1,36.9
3884.0,4.5,90.19,147.55,1.09,3517.8,9.7,37.1
3885.0,,90.7,151.63,1.09,3376.9,10.1,37.0
8609.33,,98.46,150.61,1.08,3296.1,10.1,36.9
3887.0,4.4,94.96,146.96,1.11,3255.2,9.6,37.4
,4.6,99.75,143.41,1.06,3037.8,9.8,36.6
3889.0,4.6,91.95,154.86,1.08,3379.1,,37.4
3890.0,4.5,95.39,155.81,1.05,3038.6,,36.9
3891.0,4.3,95.41,30.430000000000007,1.07,3146.8,110.2,37.1
3892.0,4.6,95.92,141.38,1.06,3349.3,110.2,36.6
3893.0,4.6,95.63,155.6,1.1,3393.8,9.9,
3894.0,4.1,98.43,135.92,1.11,3027.2,9.9,36.6
3895.0,4.3,98.77,148.76,1.08,2655.34,9.9,36.6
-10.329999999999998,4.4,99.48,151.64,1.09,3223.8,9.6,37.2
3897.0,4.3,99.54,137.85,1.1,3187.2,9.5,36.6
3898.0,4.6,91.28,151.2,1.1,,-90.5,36.5
3899.0,4.1,90.22,136.26,1.07,3270.8,9.6,36.7
3900.0,,94.45,142.55,1.09,3049.9,9.9,36.6
3901.0,4.3,97.61,255.3056,1.05,3263.7,10.2,36.6
8609.33,4.1,96.94,155.3,1.09,3220.5,9.5,36.8
3903.0,4.5,91.72,155.31,1.11,3065.3,10.0,138.9
3904.0,,97.5,140.42,1.11,3407.6,10.2,37.1
3905.0,4.2,97.85,148.71,1.06,3282.9,9.8,37.4
3906.0,4.4,93.51,151.39,1.11,3146.6,10.2,36.7
3907.0,4.5,97.77,153.57,1.07,3031.9,110.2,
3908.0,4.2,199.91,153.95,1.06,3386.7,9.8,36.6
3909.0,4.2,96.37,140.69,1.09,3392.0,10.1,37.0
,4.6,92.81,150.67,1.05,3117.7,9.6,36.6
3911.0,4.6,91.51,147.4,1.09,3074.0,10.1,37.4
3912.0,4.3,97.21,30.430000000000007,1.11,3352.2,9.7,36.5
3913.0,4.1,93.15,136.72,1.08,3148.7,9.8,36.5
3914.0,4.4,95.49,145.56,1.05,3250.4,9.5,138.9
-10.329999999999998,4.1,96.81,151.27,1.1,3377.0,9.5,37.1
3916.0,4.2,95.51,136.51,1.07,3129.1,9.5,138.9
3917.0,,97.34,136.39,1.07,3073.6,9.9,37.3
3918.0,4.6,92.53,139.1,1.08,3269.4,9.9,37.2
3919.0,4.5,94.83,153.92,1.1,3109.9,10.1,37.4
,4.6,94.47,141.65,1.1,3337.9,9.6,37.2
3921.0,,93.58,149.75,1.1,3399.9,9.9,36.7
3922.0,4.3,99.61,140.79,1.1,3106.0,9.8,138.9
3923.0,4.6,90.19,139.44,1.05,3146.2,9.7,36.8
3924.0,4.2,90.5,142.25,1.05,,9.7,37.0
3925.0,4.6,92.14,148.53,1.05,3254.3,9.7,36.8
3926.0,4.6,90.58,255.3056,1.05,3215.3,9.7,36.8
,4.1,93.6,154.33,1.06,3191.9,10.0,36.6
3928.0,4.3,99.54,141.64,1.09,3192.4,9.9,37.2
-10.329999999999998,4.5,97.82,141.42,1.08,3327.7,9.7,37.1
3930.0,4.4,97.51,,1.1,3037.8,10.1,37.1
-10.329999999999998,4.6,91.53,135.92,1.09,3010.2,,36.8
3932.0,4.3,98.67,150.14,1.06,3230.0,9.7,37.0
3933.0,4.2,90.24,141.2,,3920.2799999999993,9.6,37.4
3934.0,4.6,95.47,,1.06,3356.9,9.5,36.9
3935.0,4.5,98.6,145.42,1.05,3365.0,9.5,37.0
3936.0,4.5,97.85,146.73,1.09,3128.7,,36.5
3937.0,4.1,91.73,139.65,1.08,,9.7,138.9
3938.0,4.3,90.94,145.91,1.08,3081.0,-90.5,37.3
3939.0,4.5,95.87,151.28,1.1,3053.0,,36.9
3940.0,4.1,95.47,150.61,1.08,3126.0,10.2,36.5
3941.0,,96.59,141.78,1.06,3309.7,9.9,37.0
3942.0,4.3,91.55,136.58,101.11,3133.0,10.1,36.8
3943.0,4.6,99.31,137.26,,3920.2799999999993,9.7,36.5
3944.0,,90.41,255.3056,1.07,3066.7,9.9,37.2
3945.0,4.5,,137.35,1.11,3345.2,9.7,37.3
3946.0,4.2,93.8,135.63,1.09,3015.8,9.9,36.5
3947.0,4.3,98.24,142.4,1.06,3278.2,9.7,37.4
,4.2,91.36,140.57,1.07,3171.7,9.7,37.4
3949.0,4.2,92.33,145.13,1.08,3290.0,10.2,37.2
3950.0,4.4,92.18,135.63,1.07,3338.5,9.6,37.3
3951.0,4.6,93.48,149.17,1.09,3920.2799999999993,9.6,36.7
3952.0,,96.36,135.69,101.11,3057.3,9.7,36.9
3953.0,4.1,97.83,135.61,,3303.8,9.7,36.8
,4.2,91.31,153.79,1.09,3072.1,9.8,36.5
3955.0,4.5,95.22,141.89,1.05,3178.8,-90.5,-65.5
3956.0,4.6,93.52,149.29,1.11,3341.9,10.0,36.7
3957.0,4.5,98.27,143.4,1.05,,9.6,36.7
3958.0,4.1,199.91,,1.1,2655.34,9.5,138.9
3959.0,4.6,91.1,149.55,1.08,3240.3,9.6,36.8
3960.0,4.2,98.69,135.41,1.07,3401.1,9.6,36.5
3961.0,4.6,93.67,135.69,1.08,3920.2799999999993,9.9,36.7
3962.0,4.5,96.24,142.81,1.07,3233.2,10.0,37.2
3963.0,4.3,94.58,150.79,1.06,3248.1,10.1,37.4
3964.0,,99.72,155.82,1.07,3056.6,9.9,37.2
3965.0,4.1,199.91,255.3056,-98.95,3053.5,,37.2
3966.0,4.5,96.37,143.44,1.08,,10.2,36.9
3967.0,4.3,95.65,141.6,1.08,3186.3,9.7,36.8
3968.0,4.6,92.81,135.72,1.09,3920.2799999999993,9.6,36.8
3969.0,4.4,90.87,139.48,,3125.1,10.2,36.6
3970.0,4.5,94.48,146.62,1.08,3366.5,9.5,36.6
3971.0,4.3,97.76,147.22,1.1,3219.5,,36.9
3972.0,4.1,90.66,153.31,1.06,3211.1,9.7,36.9
3973.0,4.3,-9.819999999999993,137.18,1.07,3037.4,9.7,36.7
3974.0,4.3,91.12,155.47,1.07,3315.3,,37.0
3975.0,4.4,199.91,144.55,,3216.6,10.2,36.8
,4.4,91.45,144.14,1.08,3027.4,10.1,36.9
3977.0,4.4,,138.4,1.09,3263.1,9.7,36.9
3978.0,4.3,94.11,147.55,1.09,3127.2,9.7,36.8
3979.0,4.5,99.39,145.37,1.11,3009.5,9.8,37.1
3980.0,4.6,91.74,150.52,1.09,3024.5,9.5,
3981.0,4.6,96.84,136.22,1.1,3233.4,10.2,36.6
3982.0,4.6,93.42,154.2,1.09,3246.2,9.7,37.1
3983.0,4.2,92.18,138.9,1.09,3054.2,10.0,36.8
3984.0,4.4,94.7,30.430000000000007,1.06,3237.3,10.2,138.9
3985.0,4.5,98.23,138.64,,3380.0,10.1,37.3
3986.0,4.5,99.41,139.64,1.1,2655.34,9.6,36.9
3987.0,,95.49,135.31,1.1,3201.4,10.1,37.0
3988.0,4.3,93.28,141.92,1.05,3112.4,10.2,37.4
3989.0,4.3,95.67,153.98,1.1,3275.7,,37.1
3990.0,4.4,92.32,153.33,1.11,,9.7,36.8
3991.0,4.1,91.92,150.96,1.06,3321.8,,36.8
8609.33,4.4,93.15,150.4,101.11,3360.8,9.7,37.0
3993.0,4.6,99.31,140.67,1.11,3125.1,110.2,37.3
3994.0,4.6,90.23,138.62,,3212.7,10.0,37.1
3995.0,4.2,97.79,146.53,1.07,3169.5,9.9,37.1
3996.0,4.5,,141.13,1.05,3338.4,10.1,37.3
3997.0,4.5,93.81,149.14,101.11,3178.1,9.8,36.9
,4.3,94.33,137.45,1.06,3248.0,9.9,37.2
3999.0,4.6,96.66,139.57,1.11,3171.7,9.7,36.7
4000.0,4.2,91.46,140.37,1.11,3035.6,-90.5,36.8
4001.0,107.5,97.32,146.86,1.06,3391.2,10.0,37.4
4002.0,4.6,91.14,148.97,,3304.2,9.9,36.5
4003.0,4.2,,149.91,1.08,3240.5,10.2,36.7
4004.0,4.1,97.82,142.95,1.08,3141.3,9.7,37.1
4005.0,4.2,97.95,154.46,1.09,2655.34,9.8,37.3
4006.0,4.6,95.59,145.96,1.09,3259.1,10.2,36.7
,4.5,97.63,146.59,1.11,3384.1,9.7,37.0
4008.0,4.2,96.3,150.59,1.09,3369.4,9.6,36.9
,4.4,91.88,137.16,1.09,3194.1,10.0,36.7
4010.0,4.1,93.99,137.96,1.05,3207.5,10.2,37.2
4011.0,4.2,90.8,151.71,1.06,3369.7,9.8,36.7
4012.0,4.3,94.12,143.8,1.06,3348.0,9.7,37.0
4013.0,4.2,93.24,146.57,1.11,3027.2,9.6,37.2
4014.0,4.4,92.67,142.22,1.11,3370.0,10.1,37.2
,4.2,96.87,152.28,1.09,3358.9,9.6,138.9
4016.0,4.4,92.91,143.71,1.07,3373.0,9.6,36.8
4017.0,4.2,95.74,255.3056,1.11,3020.5,10.0,36.6
4018.0,4.4,90.35,151.41,1.09,3360.4,9.8,37.2
4019.0,4.2,95.57,151.23,,3391.9,9.5,37.3
4020.0,4.5,94.59,151.55,1.08,2655.34,10.0,36.7
4021.0,4.6,97.19,155.84,1.05,3343.3,9.5,
8609.33,4.2,99.75,141.49,1.06,3404.7,10.1,37.0
4023.0,,90.88,152.61,1.07,3131.8,9.7,37.4
4024.0,4.5,,141.58,1.05,3108.6,9.7,36.7
4025.0,4.6,-9.819999999999993,141.47,1.09,3282.6,10.2,36.5
4026.0,-99.0,,143.56,1.05,3228.6,10.0,37.4
4027.0,4.4,,146.57,1.1,3123.7,110.2,37.4
4028.0,4.2,93.67,142.74,1.05,3082.3,9.9,37.1
4029.0,4.3,91.88,144.17,1.05,3096.6,10.1,37.1
4030.0,4.4,92.42,140.7,1.07,3152.0,9.5,37.1
4031.0,107.5,92.39,148.4,1.11,3383.4,9.7,37.1
4032.0,4.5,92.77,154.71,,3065.1,10.0,36.7
,4.2,92.44,154.87,1.09,3027.7,9.8,37.0
4034.0,4.4,97.79,142.83,1.06,3378.6,10.2,37.2
8609.33,4.4,-9.819999999999993,150.87,1.08,3401.4,10.0,37.3
4036.0,4.6,90.45,138.13,1.1,3268.3,9.9,138.9
4037.0,4.6,94.24,,1.07,3240.6,9.8,36.9
4038.0,4.6,96.47,136.55,1.1,,9.6,37.4
8609.33,4.3,98.37,135.37,1.11,3107.5,9.8,37.4
4040.0,4.3,99.42,144.16,,3382.1,9.7,36.7
4041.0,4.3,97.46,152.87,1.07,3067.5,10.1,37.3
4042.0,4.3,94.11,144.73,1.1,3189.5,-90.5,36.9
4043.0,4.2,91.26,147.45,1.09,3311.4,9.8,37.4
,4.2,91.79,154.12,1.11,3384.7,10.1,36.7
4045.0,4.4,98.51,153.76,1.09,,10.1,37.1
4046.0,4.1,94.38,140.58,,3067.9,9.9,37.2
8609.33,4.6,,136.18,1.05,3217.1,10.0,37.2
4048.0,-99.0,92.87,137.39,1.06,3920.2799999999993,9.5,37.2
4049.0,4.6,91.6,147.1,1.1,3082.4,9.6,36.9
-10.329999999999998,4.4,94.16,140.26,1.06,3238.7,10.2,
4051.0,,199.91,148.79,1.08,3378.1,10.0,36.7
4052.0,4.1,98.49,143.59,-98.95,3010.4,9.7,37.0
4053.0,4.5,93.22,155.4,,3359.9,9.9,138.9
4054.0,4.1,92.63,139.38,1.07,3313.8,10.0,37.2
4055.0,4.1,-9.819999999999993,144.31,1.06,3311.2,110.2,
4056.0,,91.16,144.49,1.11,3920.2799999999993,9.5,37.0
4057.0,4.1,94.65,151.79,,3087.1,10.1,37.3
4058.0,-99.0,90.8,151.75,1.07,3155.8,9.5,36.8
4059.0,4.5,90.35,154.84,1.11,3281.8,9.6,37.0
4060.0,4.2,93.26,146.47,1.09,3189.2,9.6,36.8
4061.0,4.5,92.55,143.56,1.07,3112.2,10.0,
4062.0,4.4,90.52,155.64,1.08,3188.9,110.2,37.3
4063.0,4.1,93.29,,1.06,3132.1,9.7,36.7
-10.329999999999998,4.3,91.91,149.46,1.09,,10.2,37.4
-10.329999999999998,4.1,,144.23,1.08,3206.4,9.5,37.2
4066.0,4.2,96.7,136.54,1.05,3055.4,9.9,36.8
4067.0,4.5,97.36,151.76,1.06,3078.4,9.9,37.2
4068.0,4.2,98.39,255.3056,1.05,3031.1,9.5,37.0
