,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
4197,4.5,90.58,155.8,1.07,3157,10.1,37.2
4198,4.5,99.65,150.35,1.1,3171.7,9.6,37
4199,4.2,93.41,155.35,1.07,3194.2,9.9,37.2
4200,4.6,97.5,152.98,1.07,3239.6,9.9,36.9
4201,4.6,94.26,139.91,1.08,3106.3,10.2,36.7
4202,4.5,92.82,144.5,1.08,3133.8,9.6,37.2
4203,4.3,95.81,149.16,1.09,3119.8,9.9,37.4
4204,4.1,91.52,135.19,1.11,3138.8,9.6,36.6
4205,4.3,99.11,142.29,1.09,3153.3,9.5,36.8
4206,4.6,94.19,151.96,1.11,3082.2,10.2,37.1
4207,4.4,96.31,155.2,1.07,3084.3,10.2,36.6
4208,4.2,91.74,136.78,1.11,3022.3,9.9,36.5
4209,4.3,92.67,142.27,1.09,3065,9.9,37
4210,4.5,96.58,154.18,1.08,3255.7,10,37.2
4211,4.5,94.21,139.28,1.09,3278.3,9.6,37.2
4212,4.2,95.26,144.43,1.09,3394.7,9.6,37.3
4213,4.6,99.29,154.48,1.06,3143.6,9.5,37
4214,4.4,90.99,143.49,1.1,3400.2,9.8,36.9
4215,4.2,94.67,141.35,1.08,3096.1,9.9,37.4
4216,4.4,98.39,141.71,1.07,3315.4,10.2,37.2
4217,4.2,93.31,142.97,1.11,3148.4,9.8,36.8
4218,4.3,94.93,147.54,1.09,3280.7,9.9,37
4219,4.3,95.68,151.87,1.11,3198.6,10.1,37
4220,4.1,98.26,135.51,1.09,3396.5,9.5,37.3
4221,4.2,92.73,151.37,1.11,3325.9,9.6,37.2
4222,4.6,98.88,145.39,1.08,3126.2,9.6,36.7
4223,4.1,98.3,142.33,1.09,3283.9,9.6,37
4224,4.6,99.26,140.67,1.1,3030,9.9,36.6
4225,4.3,92.64,155.64,1.11,3084.4,9.9,36.5
4226,4.5,96.12,151.29,1.06,3032.7,9.9,36.5
4227,4.1,96.58,149.71,1.06,3343.2,10,36.5
4228,4.5,99.97,152.27,1.06,3384.8,9.5,36.5
4229,4.3,95.71,150.49,1.08,3100.6,10.2,36.8
4230,4.3,96.57,141.28,1.05,3024.9,10.2,37.4
4231,4.3,97.83,144.99,1.05,3396.2,9.6,36.7
4232,4.3,97.48,141.45,1.09,3110.7,10.1,37.2
4233,4.3,92.64,143.25,1.1,3078,9.7,36.8
4234,4.4,99.28,144.82,1.1,3150.7,10.2,37.3
4235,4.1,90.79,147.32,1.09,3393.6,10.2,36.5
4236,4.3,92.29,144.82,1.1,3282.8,10.2,36.6
4237,4.1,93.13,149.74,1.06,3254.1,9.6,36.6
4238,4.4,91.13,143.47,1.08,3050,10.1,36.5
4239,4.2,97.38,154.3,1.05,3375,10.2,37.1
4240,4.6,90.97,140.26,1.1,3030,9.5,37.3
4241,4.4,90.48,149.41,1.07,3020.6,9.7,36.9
4242,4.2,98.81,142.73,1.08,3177.6,10.2,37.2
4243,4.4,93.2,153.5,1.11,3251.1,9.7,37.2
4244,4.3,93.21,135.15,1.08,3104.2,10.2,36.8
4245,4.1,90.63,143.11,1.11,3243.6,10,37
4246,4.1,93.31,140.88,1.07,3231.3,9.5,36.7
4247,4.4,95.79,140.71,1.09,3208.9,9.8,37.2
4248,4.1,94.39,138.77,1.07,3174.7,10.1,37.2
4249,4.5,92.83,150.39,1.06,3288.9,9.7,37.4
4250,4.2,90.25,146.86,1.08,3369.4,9.5,36.5
4251,4.4,94.73,147.71,1.06,3351,9.5,36.5
4252,4.6,96.67,135.67,1.11,3152.3,9.9,37.3
4253,4.1,92.53,150.78,1.09,3310.5,9.9,36.6
4254,4.1,92.17,136.38,1.07,3173.2,10.1,36.5
4255,4.6,96.3,147.66,1.09,3143.7,9.5,36.5
4256,4.1,93.49,144.37,1.06,3140.1,9.7,37.2
4257,4.4,93.37,135.79,1.07,3181.1,9.5,36.8
4258,4.6,95.3,154.34,1.1,3174.6,10.1,37.4
4259,4.1,95.96,135.61,1.06,3071.5,9.6,37
4260,4.3,98.1,142.87,1.11,3224.9,9.6,37.1
4261,4.1,93.34,147.26,1.08,3242.9,10.1,36.7
4262,4.1,91.82,141.32,1.11,3205.7,10,36.8
4263,4.2,91.48,138.92,1.11,3138.9,9.7,37.3
4264,4.4,95.5,138.44,1.08,3076.2,9.8,36.5
4265,4.1,96.94,153.39,1.07,3114.7,10.1,36.8
4266,4.2,95.23,139.72,1.06,3140.5,9.6,36.5
4267,4.2,90.9,146.66,1.08,3197.9,10.1,36.8
4268,4.2,90.51,152.97,1.05,3253.8,9.7,36.7
4269,4.1,93.99,141.89,1.08,3163.3,10.2,37.4
4270,4.2,99.84,149.49,1.08,3154.9,9.7,37.3
4271,4.3,96.94,154.92,1.1,3236.5,9.7,36.9
4272,4.1,98.74,154.84,1.06,3197.9,9.6,37.2
4273,4.6,99.61,147.38,1.06,3084.1,10.2,37.4
4274,4.1,96.55,139.5,1.07,3300.9,9.6,37
4275,4.2,95.43,138.68,1.07,3181.9,9.7,37.1
4276,4.1,96.14,153.67,1.11,3384.3,9.9,36.9
4277,4.6,99.73,137.38,1.07,3283.3,10,37
4278,4.4,94.96,137.63,1.11,3010,10.1,37.4
4279,4.6,91.42,142.44,1.07,3110.9,9.5,37.4
4280,4.5,91.46,148.55,1.07,3338.1,10.1,36.9
4281,4.2,99.99,144.64,1.05,3364,10.2,37.3
4282,4.6,97.77,135.57,1.07,3204.6,9.9,37
4283,4.2,90.43,143.85,1.1,3298,9.7,36.6
4284,4.4,96.74,136.9,1.07,3269.9,9.6,37.2
4285,4.2,90.52,144.4,1.06,3210,9.7,36.5
4286,4.3,95.21,138.48,1.06,3354.8,9.6,37.1
4287,4.4,99.27,139.43,1.08,3115.4,9.5,37.1
4288,4.6,98.17,138.26,1.05,3391.9,10.1,36.6
4289,4.3,96.94,143.26,1.07,3384.3,9.9,37.2
4290,4.2,95.53,138.66,1.1,3021.5,10.1,37.2
4291,4.5,93.31,147.49,1.06,3373.1,10,36.5
4292,4.1,99.9,136.65,1.06,3035.6,9.9,36.9
4293,4.2,90.95,139.94,1.08,3230.7,9.7,36.7
4294,4.6,94.26,136.5,1.05,3171.9,9.8,36.9
4295,4.4,97.34,152.24,1.05,3298.5,9.9,36.7
4296,4.4,97.81,149.39,1.05,3376.5,9.8,36.8
4297,4.6,99.46,139.18,1.11,3259.5,9.9,37.4
4298,4.2,98.66,153.93,1.1,3187,10.2,36.8
4299,4.4,94.9,137.67,1.05,3178.9,10.1,36.8
4300,4.3,92.67,149.47,1.11,3082.5,9.8,37.4
4301,4.1,96.72,138.58,1.09,3117.8,9.5,36.8
4302,4.6,94.17,141.29,1.05,3161.5,10.1,36.7
4303,4.6,96.6,137.55,1.05,3119.9,9.9,36.9
4304,4.5,99.5,151.56,1.05,3389.2,9.7,36.9
4305,4.4,92.82,153.41,1.06,3027.2,9.9,37
4306,4.5,96.5,146.59,1.1,3036.9,9.5,37.4
4307,4.3,97.16,151.16,1.09,3025.3,9.6,37
4308,4.5,96.49,151.43,1.05,3011.2,9.9,37.2
4309,4.1,91.64,136.84,1.05,3337.9,9.7,36.7
4310,4.3,96.75,137.36,1.09,3063.4,10,37
4311,4.1,99.2,154.25,1.06,3260.7,9.9,37
4312,4.1,96.61,155.63,1.07,3084.3,10.1,37.1
4313,4.5,92.89,152.6,1.09,3052.3,9.9,37.1
4314,4.6,97.89,138.77,1.1,3210.2,9.8,36.9
4315,4.5,92.72,151.91,1.06,3019.2,9.6,36.7
4316,4.5,99.21,139.44,1.09,3231.4,9.5,37.2
4317,4.5,94.95,151.7,1.09,3215.6,9.9,37.3
4318,4.3,97.15,151.48,1.05,3138.2,9.6,37.2
4319,4.5,98.5,154.89,1.06,3140.5,9.9,37
4320,4.5,94.41,155.77,1.07,3239.9,9.5,37.1
4321,4.4,92.17,149.99,1.07,3316.5,9.9,37.3
4322,4.2,91.51,138.55,1.09,3212.9,9.9,37.4
4323,4.5,90.22,147.98,1.05,3165.9,10.2,36.5
4324,4.2,91.41,141.25,1.06,3095.6,9.9,37.4
4325,4.1,96.44,152.29,1.08,3088.8,10.2,37.2
4326,4.6,92.89,138.27,1.05,3123.1,9.8,37.3
4327,4.4,98.92,155.7,1.1,3379.4,9.5,37
4328,4.4,96.65,152.86,1.05,3280.6,10.2,37.4
4329,4.4,96.1,155.29,1.07,3121.7,10.1,36.5
4330,4.2,91.66,136.77,1.05,3193.2,10.1,36.7
4331,4.2,94.82,155.79,1.1,3348.4,9.6,37.3
4332,4.5,95.41,149.68,1.08,3339,9.5,37.1
4333,4.2,91.11,146.11,1.05,3307.9,10.1,37.1
4334,4.4,91.45,146.58,1.08,3369.2,10.1,37.2
4335,4.3,98.54,136.39,1.1,3201.7,9.7,36.9
4336,4.3,97.8,153.76,1.09,3351.6,9.9,36.5
4337,4.6,96.5,137.98,1.06,3130.2,9.6,37.4
4338,4.2,92.14,145.97,1.06,3213.1,9.6,36.9
4339,4.3,91.64,138.57,1.1,3301.9,10,37.4
4340,4.4,90.24,143.54,1.11,3116.4,9.9,37
4341,4.6,97.58,144.6,1.08,3090.1,10,36.9
4342,4.4,92.9,153.55,1.08,3101.6,10.2,36.6
4343,4.6,90.2,144.53,1.1,3049.3,9.5,36.5
4344,4.6,98.56,155.62,1.05,3141.8,9.6,36.7
4345,4.6,98.29,141.89,1.08,3016.4,9.9,37.4
4346,4.6,92.89,135.54,1.07,3327.8,9.8,37.2
4347,4.2,94.68,155.8,1.11,3262.2,9.9,36.8
4348,4.3,91.22,136.97,1.1,3310.4,9.9,36.5
4349,4.4,92.93,149.92,1.07,3346.3,10,36.8
4350,4.1,92.25,144.65,1.05,3272.5,9.9,36.5
4351,4.6,92.18,141.2,1.09,3323,10.2,36.6
4352,4.2,99.32,138.5,1.11,3174.5,9.9,37.4
4353,4.4,98.56,145.75,1.09,3187.7,10.2,37.1
4354,4.5,97.72,155.21,1.1,3274.4,9.9,36.6
4355,4.6,91.76,154.35,1.09,3395.7,9.5,37.2
4356,4.4,93.31,143.45,1.06,3351.3,9.9,36.6
4357,4.5,90.25,145.79,1.08,3105.6,9.5,37.2
4358,4.4,97.73,136.68,1.08,3064.2,10.1,37.4
4359,4.3,97.12,154.31,1.11,3204.1,9.6,36.8
4360,4.2,95.79,146.85,1.06,3342.2,9.8,36.7
4361,4.3,95.69,144.24,1.08,3333.1,10.1,37.2
4362,4.6,98.43,145.47,1.11,3323.2,9.5,36.7
4363,4.4,93.22,138.47,1.1,3048.4,10,37.2
4364,4.1,91.82,137.82,1.06,3096.1,9.5,37.4
4365,4.4,98.54,147.78,1.08,3077.6,9.7,36.7
4366,4.6,90.23,139.5,1.08,3074.1,10.2,36.8
4367,4.3,94.69,141.28,1.09,3054.9,10,36.8
4368,4.6,92.56,143.87,1.09,3050,9.8,36.6
4369,4.4,96.68,153.44,1.08,3132.5,9.7,36.5
4370,4.4,97.81,140.98,1.07,3107,9.6,37.3
4371,4.4,99.23,151.51,1.05,3258.1,9.5,36.8
4372,4.6,90.43,140.22,1.06,3164.4,9.6,37.2
4373,4.3,91.61,135.46,1.05,3157.8,10,37.2
4374,4.2,96.39,135.19,1.08,3120,10.1,36.6
4375,4.4,93.29,137.72,1.07,3346.6,10.1,36.8
4376,4.1,96.93,137.63,1.11,3109.6,9.5,36.5
4377,4.1,95.93,145.56,1.06,3408.5,9.7,36.9
4378,4.6,96.53,145.76,1.09,3069.5,9.6,36.9
4379,4.5,96.44,146.79,1.1,3301.7,9.5,36.8
4380,4.3,91.79,147.86,1.06,3286.6,10.2,36.7
4381,4.5,91.89,137.39,1.06,3356.9,10.2,36.8
4382,4.5,96.92,138.75,1.1,3392.5,10,37.1
4383,4.6,97.48,150.51,1.07,3198.4,9.5,37.1
4384,4.5,93.75,142.23,1.09,3308.8,9.5,37
4385,4.1,99.66,135.9,1.1,3021.2,10,36.7
4386,4.6,91.82,150.29,1.09,3347,10.1,36.7
4387,4.5,92.45,155.41,1.09,3260.6,10,36.7
4388,4.6,91.89,155.3,1.11,3271,10.1,37
4389,4.5,92.93,147.42,1.08,3364.7,10.2,36.8
4390,4.5,93.64,151.73,1.05,3223.2,9.5,37
4391,4.6,93.36,135.51,1.11,3035.3,10.2,37.4
4392,4.5,97.6,137.22,1.05,3296.1,10,37.1
4393,4.5,99.5,149.23,1.11,3346.1,9.6,37.4
4394,4.3,98.81,145.38,1.05,3260.7,10,37.1
4395,4.4,93.53,151.7,1.07,3224,9.7,36.9
4396,4.5,98.52,154.46,1.06,3081.5,9.7,36.5
4397,4.1,93.71,136.52,1.07,3033.2,9.7,36.6
4398,4.2,96.46,140.71,1.11,3288.2,10.2,37.4
4399,4.3,91.17,151.35,1.08,3019.6,10.1,36.7
4400,4.3,93.13,138.26,1.06,3195.1,9.8,36.5
4401,4.4,91.71,143.35,1.08,3213,10.1,37.3
4402,4.6,92.29,152.91,1.06,3147.2,10.1,36.8
4403,4.5,97.71,135.81,1.06,3112.5,9.9,37
4404,4.2,96.46,155.24,1.1,3312.2,10.1,36.9
4405,4.2,90.33,137.36,1.1,3134.1,10.2,37.4
4406,4.4,90.6,147.18,1.11,3047.3,9.9,37.2
4407,4.2,96.57,136.2,1.06,3143.5,10,37.3
4408,4.5,93.17,140.54,1.08,3305.7,9.7,37
4409,4.5,91.46,145.77,1.06,3313.9,10,36.8
4410,4.4,99.52,143.4,1.05,3317.3,10,36.8
4411,4.1,92.36,149.52,1.11,3399.7,10.2,36.5
4412,4.4,90.83,142.73,1.08,3035.9,9.6,36.8
4413,4.6,99.94,152.76,1.05,3401.6,9.8,36.5
4414,4.3,94.56,142.13,1.06,3007.3,9.9,36.6
4415,4.4,97.42,140.19,1.09,3243.6,9.8,36.6
4416,4.5,99.67,149.62,1.1,3155.5,10,37.3
4417,4.1,92.19,151.64,1.1,3279.5,9.6,37.2
4418,4.6,98.32,140.5,1.1,3324.4,9.6,37
4419,4.6,97.2,146.51,1.06,3140.5,10.1,37.1
4420,4.5,92.14,141.59,1.08,3095.5,9.8,37.1
4421,4.3,96.3,143.68,1.06,3199.8,9.9,37
4422,4.2,93.62,150.55,1.09,3054.1,9.5,37.3
4423,4.2,94.39,142.28,1.05,3307,10.1,37.3
4424,4.4,92.65,142.51,1.09,3307.2,10,36.7
4425,4.3,91.61,147.24,1.11,3368.2,10.1,36.9
4426,4.5,90.44,155.1,1.07,3393.7,9.8,37
4427,4.6,97.42,135.16,1.05,3048.4,9.9,36.6
4428,4.1,96.2,150.42,1.06,3046.6,9.7,37
4429,4.4,94.18,154.73,1.11,3043.6,10.1,37.4
4430,4.6,95.38,140.84,1.1,3289.2,10,37
4431,4.5,99.96,150.47,1.05,3356.8,9.5,37
4432,4.1,91.63,139.28,1.05,3379.2,10,36.6
4433,4.2,95.72,150.85,1.1,3365.8,9.5,37
4434,4.2,99.17,142.63,1.08,3160.9,9.7,37.4
4435,4.1,92.47,153.46,1.09,3024.9,9.8,36.9
4436,4.6,94.67,146.75,1.05,3225.8,9.8,36.6
4437,4.5,93.56,136.53,1.09,3242.9,9.7,36.7
4438,4.4,91.85,141.24,1.11,3041.1,10.1,36.5
4439,4.3,97.28,150.88,1.11,3191.7,9.6,36.5
4440,4.4,90.95,140.33,1.1,3255.1,10.2,37
4441,4.5,94.3,136.72,1.08,3126.7,9.5,37.3
4442,4.4,97.55,142.89,1.06,3057.2,9.7,37.3
4443,4.1,94.28,137.39,1.06,3222.7,9.8,37.3
4444,4.2,95.54,139.58,1.09,3334.5,9.5,36.9
4445,4.6,95.85,144.61,1.11,3034.1,10.2,36.7
4446,4.6,93.1,147.68,1.06,3038.4,9.5,37.4
4447,4.1,98.68,140.41,1.1,3269.2,9.5,36.8
4448,4.6,94.57,152.11,1.11,3314.9,9.6,37.2
4449,4.4,92.52,139.11,1.11,3394.3,10,37.4
4450,4.2,96.89,136.55,1.1,3180.3,9.8,37.1
4451,4.2,97.71,149.82,1.08,3284.9,10.1,36.5
4452,4.5,94.64,136.76,1.05,3091.1,9.5,37.4
4453,4.4,94.4,135.39,1.08,3077.1,9.9,37.1
4454,4.4,93.71,144.81,1.09,3222.6,9.7,37.3
4455,4.2,91.45,144.26,1.08,3273,9.9,37
4456,4.2,93.65,155.38,1.07,3038.1,9.9,37.2
4457,4.1,99.62,153.69,1.08,3195,10.1,37.3
4458,4.4,91.31,138.94,1.1,3375.1,9.6,36.5
4459,4.2,93.21,135.77,1.1,3330.3,9.8,37.1
4460,4.4,94.42,135.89,1.07,3075.6,9.5,37.3
4461,4.6,98.54,136.93,1.1,3364,9.7,36.6
4462,4.4,97.12,147.23,1.1,3301.7,9.9,36.5
4463,4.5,91.74,144.56,1.06,3112.9,10.1,37.1
4464,4.4,95.84,136.77,1.1,3044.4,9.8,36.7
4465,4.2,92.17,153.82,1.06,3058.3,10.1,36.6
4466,4.1,98.54,144.16,1.09,3155.6,10.2,36.5
4467,4.5,93.63,135.25,1.08,3145.2,10.2,36.7
4468,4.4,92.71,155.61,1.1,3177.3,10,36.7
4469,4.2,98.4,155.53,1.05,3144.5,10,37.4
4470,4.3,90.22,149.47,1.1,3305.2,9.8,37
4471,4.3,95.83,142.89,1.08,3294.1,9.6,37.2
4472,4.2,93.82,139.81,1.11,3070.9,9.9,37
4473,4.6,97.29,139.84,1.05,3214.4,9.8,36.7
4474,4.4,92.72,147.97,1.1,3022.9,10.1,37.3
4475,4.5,90.65,153.22,1.06,3259.2,9.6,37.2
4476,4.2,96.22,154.26,1.06,3164.8,9.7,36.5
4477,4.6,94.29,144.24,1.08,3398.7,10.2,37.3
4478,4.1,93.69,150.41,1.09,3256.7,9.8,36.7
4479,4.6,91.48,135.37,1.05,3129.2,9.5,37.1
4480,4.3,92.12,150.61,1.08,3268.1,10,36.6
4481,4.4,90.18,140.34,1.11,3366,10.2,37.2
4482,4.5,92.24,150.96,1.06,3387.7,9.8,37.1
4483,4.4,97.6,142.98,1.06,3124.5,10,36.9
4484,4.5,94.87,142.78,1.1,3234.8,9.7,37.4
4485,4.1,99.43,138.4,1.05,3370.6,9.9,37
4486,4.4,95.84,154.97,1.05,3261.3,9.5,37
4487,4.4,90.7,138.13,1.07,3260,9.6,37.4
4488,4.1,97.79,137.29,1.09,3333.4,10,36.8
4489,4.3,92.36,154.24,1.06,3171.9,9.7,36.6
4490,4.1,92.86,153.53,1.09,3399.2,9.7,37.4
4491,4.4,90.12,139.71,1.1,3389,10,37.4
4492,4.6,90.82,143.17,1.05,3264.2,9.9,37.3
4493,4.5,98.52,154.45,1.08,3357.2,10,36.5
4494,4.3,93.63,137.89,1.11,3346.9,9.5,36.9
4495,4.3,94.36,145.54,1.11,3372,9.5,37.2
4496,4.6,94.58,155.89,1.08,3229.4,9.9,36.8
4497,4.4,96.62,144.83,1.09,3279.8,9.9,37.3
4498,4.5,95.81,143.9,1.11,3090,9.5,37.2
4499,4.3,92.95,145.17,1.08,3393.6,9.8,36.7
4500,4.4,93.88,149.41,1.06,3246.6,10.2,36.8
4501,4.1,98.24,149.45,1.11,3104.8,9.6,36.6
4502,4.4,94.93,146.4,1.05,3128,10.1,37.4
4503,4.4,93.23,143.33,1.05,3257.2,9.6,36.6
4504,4.5,94.54,151.4,1.11,3362.3,10.2,37.1
4505,4.1,93.37,148.72,1.11,3300.2,10,37.4
4506,4.4,99.78,153.49,1.06,3385.3,10.1,37
4507,4.1,97.64,152.14,1.07,3164.7,10.1,37.1
4508,4.2,91.15,140.59,1.1,3186.1,10,37.4
4509,4.3,90.19,140.38,1.06,3392.7,9.8,36.8
4510,4.2,95.4,151.85,1.07,3133.3,10.1,36.5
4511,4.6,91.83,154.14,1.05,3379.2,10.2,36.6
4512,4.3,99.76,149.42,1.1,3084.4,9.5,36.5
4513,4.6,95.26,143.78,1.07,3359.8,9.7,36.9
4514,4.6,92.46,136.93,1.1,3357.3,9.9,36.9
4515,4.4,94.42,144.66,1.06,3381.2,9.5,36.7
4516,4.3,98.71,150.7,1.1,3334.5,10,36.8
4517,4.6,93.84,135.58,1.09,3131.5,9.9,36.5
4518,4.6,95.17,138.16,1.1,3126,10,37
4519,4.1,93.1,154.74,1.08,3318.2,9.8,37.1
4520,4.2,99.5,138.61,1.07,3055.9,9.9,36.8
4521,4.4,93.48,149.23,1.11,3027.9,9.9,36.6
4522,4.4,97.6,149.81,1.09,3108.6,10.1,37
4523,4.6,95.63,139.8,1.11,3370.3,10,37.2
4524,4.5,99.48,148.89,1.11,3156.6,10.2,36.8
4525,4.2,99.87,144.69,1.05,3380.9,10.1,37.3
4526,4.5,92.52,150.86,1.1,3380.5,9.8,36.9
4527,4.2,96.28,155.98,1.07,3223.9,9.5,36.7
4528,4.2,94.74,155.75,1.09,3062.5,9.5,37.4
4529,4.6,98.82,140.67,1.09,3318.3,10.1,36.5
4530,4.5,91.29,152.85,1.08,3081.7,9.8,37.4
4531,1.4,95.65,131.2,1.06,3002.8,10,34.3
4532,1.2,90.87,140.37,1.05,3420.4,9.8,35.4
4533,1.2,94.8,150.47,1.06,3404.8,9.9,35
4534,1,96.76,136.65,1.11,3109.7,10,34.6
4535,1.5,99.24,135.94,1.05,3397.6,9.5,35.2
4536,1.3,90.55,134.59,1.08,3409.6,10.1,35
4537,1.2,91.29,134.65,1.11,3045.9,9.9,35
4538,1.2,92.56,130.63,1.06,3182,9.6,35.2
4539,1,95.55,143.15,1.11,3146.9,10,35.1
4540,1.5,99.85,147.19,1.08,3107.6,9.6,34.8
4541,1.5,92.15,138.21,1.05,3150.4,9.6,34.8
4542,1.2,90.44,130.78,1.06,3150.2,10.1,35.3
4543,1,90.67,130.36,1.08,3047.9,9.7,34.6
4544,1.5,98.45,130.46,1.11,3344.7,10,34.6
4545,1.5,90.19,136.36,1.1,3483.8,10,35.4
4546,1.1,98.58,149.87,1.05,3023.2,9.6,35.1
4547,1.5,97.45,133.31,1.11,3175.2,9.8,34.8
4548,1.1,95.77,149.67,1.06,3492.6,9.6,35.4
4549,1.2,96.87,150.78,1.1,3419.5,10.2,34.7
4550,1.5,95.18,146.2,1.08,3486.9,9.6,34.5
4551,1.4,97.78,133.69,1.06,3346.1,10.1,34.7
4552,1.3,90.18,141.15,1.07,3387.6,9.8,34.8
4553,1.2,96.2,146.26,1.09,3265.1,10.1,34.8
4554,1.2,99.21,136.52,1.09,3424.9,10.2,34.8
4555,1.5,98.79,141.82,1.07,3106.7,9.8,34.7
4556,1.2,98.73,141.96,1.07,3439.2,9.5,35.4
4557,1.5,93.89,136.65,1.05,3204.8,9.7,34.7
4558,1.5,91.49,133.36,1.1,3018.7,9.5,34.7
4559,1.2,93.4,130.63,1.08,3021.8,10.2,34.6
4560,1.3,99.11,148.43,1.1,3205.5,10.1,35.3
4561,1.5,93.85,143.28,1.1,3377.6,9.7,34.8
4562,1.3,99.1,130.44,1.09,3011.4,9.6,34.6
4563,1.2,96.22,143.16,1.09,3278.7,9.7,35
4564,1.4,97.66,150.4,1.08,3454.9,10.2,35.1
4565,1.5,99.7,145.65,1.05,3124.6,10.2,34.8
4566,1,92.58,148.96,1.07,3446.5,9.9,35.2
4567,1.4,99.67,148.46,1.08,3003.1,10.2,35.2
4568,1.1,97.68,134.66,1.08,3204.1,10.1,35.4
4569,1.3,90.99,142.83,1.1,3463.4,9.9,35.1
4570,1.3,92.64,140.41,1.1,3022.2,10,34.7
4571,1.5,98.72,142.83,1.1,3204.1,9.9,35
4572,1.5,91.67,142.24,1.1,3201.8,9.8,34.9
4573,1.5,98.23,144.3,1.11,3222.1,9.7,35.3
4574,1.1,97.91,133.88,1.1,3001.9,10.2,35.4
4575,1.3,97.52,135.43,1.07,3456.9,9.9,35.4
4576,1,95.5,138.92,1.1,3231.8,9.8,34.6
4577,1.4,98.5,142.68,1.09,3407.5,9.8,35.2
4578,1.2,95.34,132.85,1.08,3240.9,9.5,35.4
4579,1.5,99.32,136.14,1.08,3333.4,9.9,35
4580,1.4,96.39,149.11,1.09,3145.7,9.5,35.4
4581,1.4,93.7,140.59,1.07,3280.8,10.1,34.5
4582,1,91.77,145.52,1.05,3409.6,9.5,35
4583,1,96.63,142.33,1.08,3212.9,9.8,34.8
4584,1.3,92.65,136.44,1.07,3098,9.7,35.3
4585,1,90.26,137.14,1.07,3449.9,9.5,34.5
4586,1.3,97.19,145.42,1.06,3478.5,9.5,34.5
4587,1,97.92,142.18,1.07,3398.1,9.9,35.1
4588,1.5,93.52,149.45,1.11,3215.4,9.6,35
4589,1.2,91.74,139.7,1.08,3007,10.2,34.7
4590,1.2,99.33,134.78,1.1,3279.9,10.1,34.7
4591,1,99.78,137.32,1.08,3364.2,10,34.5
4592,1.1,97.64,144.1,1.1,3442.8,9.9,35.3
4593,1.3,98.85,141.71,1.05,3399.3,9.9,34.6
4594,1.4,98.52,138.46,1.05,3240.6,9.7,35.1
4595,1.3,97.57,135.84,1.09,3416.4,9.5,35
4596,1.2,96.89,141.51,1.08,3055.1,10.2,34.9
4597,1.2,99.51,142.19,1.07,3425.5,9.5,34.5
4598,1.2,94.76,140.19,1.07,3322.4,10.2,35.4
4599,1.3,94.73,149.59,1.08,3209.9,9.9,35.2
4600,1.3,97.23,137.77,1.09,3113.9,9.7,34.6
4601,1.3,97.88,130.5,1.05,3536.7,9.9,34.9
4602,1.2,95.13,144.13,1.11,3187.5,9.5,35.3
4603,1.2,90.77,141.39,1.07,3052.3,10.2,34.5
4604,1.4,92.84,135.15,1.07,3036.5,9.7,35.4
4605,1.2,97.88,148.8,1.09,3519.4,10,35.3
4606,1.4,91.19,132.56,1.1,3407.8,10.2,34.9
4607,1.2,96.62,130.1,1.05,3274.3,10.1,35
4608,1.5,98.76,134.35,1.06,3299.2,10,35.2
4609,1.2,93.11,136.93,1.11,3283.4,9.5,35.1
4610,1.5,98.63,149.81,1.07,3134.8,9.6,34.5
4611,1,91.14,142.86,1.05,3459.6,9.9,35.1
4612,1,95.29,149.27,1.1,3575.9,10.1,34.6
4613,1.3,92.83,142.8,1.06,3342.5,9.9,35
4614,1.1,99.28,141.26,1.07,3244.7,10.1,35
4615,1.5,98.13,142.59,1.1,3080.7,9.6,35.4
4616,1,94.51,149.78,1.08,3247.4,10,35.2
4617,1,96.88,132.34,1.06,3152.4,9.5,34.5
4618,1.4,94.93,134.87,1.05,3508.7,9.9,34.5
4619,1.3,96.38,138.17,1.11,3409.2,9.6,34.6
4620,1.1,93.2,143.45,1.06,3102.3,9.9,35.4
4621,1.5,98.86,137.81,1.09,3055.3,10.2,34.7
4622,1.4,92.93,142.26,1.1,3554.5,9.7,35.4
4623,1.5,99.6,138.38,1.1,3147,10,34.9
4624,1.1,96.84,144.83,1.1,3236.8,9.8,34.6
4625,1.1,93.75,134.66,1.07,3595.1,9.7,34.8
4626,1,93.38,149.27,1.05,3187,9.9,34.8
4627,1.3,96.7,148.53,1.05,3543.7,9.7,34.9
4628,1.5,93.58,132.46,1.08,3180,9.5,35
4629,1,96.63,132.61,1.07,3100.5,9.7,34.7
4630,1.4,94.38,138.89,1.09,3222.7,9.6,34.8
4631,1.4,95.87,139.1,1.05,3025.6,9.7,34.7
4632,1.4,97.79,130.51,1.07,3049.2,9.8,35.3
4633,1.4,97.28,148.59,1.07,3590.7,9.5,35.2
4634,1.4,96.24,135.52,1.05,3482.6,9.8,35.4
4635,1.1,98.2,131.27,1.09,3101.3,9.7,35.1
4636,1,90.94,145.71,1.1,3309.3,10,34.7
4637,1.1,92.64,136.33,1.1,3596.1,9.7,34.5
4638,1.4,93.94,139.47,1.06,3287.8,10.2,34.8
4639,1.1,92.93,131.88,1.09,3148,9.8,34.7
4640,1.2,97.27,131.25,1.08,3258.4,9.9,34.9
4641,1.5,93.55,131.12,1.11,3345.1,10.1,35
4642,1.5,96.38,150.55,1.09,3576.9,9.8,35.2
